Tel,Filter,HJD,mag,e_mag,mag_aligned,e_mag_aligned
KMTA02,I,8218.1318,0.0,0.0,17.188479,0.025873
KMTA02,I,8218.14537,0.0,0.0,17.128778,0.01855
KMTA02,I,8218.15705,0.0,0.0,17.162459,0.027299
KMTA02,I,8218.17964,0.0,0.0,17.149762,0.024189
KMTA02,I,8218.19093,0.0,0.0,17.129904,0.023958
KMTA02,I,8218.20189,0.0,0.0,17.139218,0.017674
KMTA02,I,8218.21327,0.0,0.0,17.129597,0.017341
KMTA02,I,8218.2245,0.0,0.0,17.146793,0.030952
KMTA02,I,8218.24246,0.0,0.0,17.13236,0.030055
KMTA02,I,8218.25375,0.0,0.0,17.158158,0.018451
KMTA02,I,8218.26567,0.0,0.0,17.150786,0.01988
KMTA02,I,8218.27699,0.0,0.0,17.144131,0.018666
KMTA02,I,8218.28801,0.0,0.0,17.126833,0.015696
KMTA02,I,8218.3072,0.0,0.0,17.134509,0.016246
KMTA02,I,8218.31864,0.0,0.0,17.177311,0.027641
KMTA02,I,8219.11732,0.0,0.0,17.142186,0.018115
KMTA02,I,8219.13241,0.0,0.0,17.145769,0.017128
KMTA02,I,8219.15184,0.0,0.0,17.14106,0.018995
KMTA02,I,8219.17524,0.0,0.0,17.140651,0.017235
KMTA02,I,8219.18684,0.0,0.0,17.119261,0.020859
KMTA02,I,8219.19817,0.0,0.0,17.140651,0.018444
KMTA02,I,8219.21687,0.0,0.0,17.136556,0.021419
KMTA02,I,8219.22814,0.0,0.0,17.163688,0.021211
KMTA02,I,8219.23921,0.0,0.0,17.111179,0.017225
KMTA02,I,8219.25061,0.0,0.0,17.161128,0.022757
KMTA02,I,8219.26217,0.0,0.0,17.128266,0.016792
KMTA02,I,8219.28042,0.0,0.0,17.147714,0.016141
KMTA02,I,8219.29149,0.0,0.0,17.149045,0.025296
KMTA02,I,8219.3027,0.0,0.0,17.131439,0.018551
KMTA02,I,8219.30441,0.0,0.0,17.129699,0.016683
KMTA02,I,8219.31595,0.0,0.0,17.12141,0.025171
KMTA02,I,8220.10784,0.0,0.0,17.134202,0.019543
KMTA02,I,8220.12742,0.0,0.0,17.112816,0.016787
KMTA02,I,8220.13861,0.0,0.0,17.169936,0.022098
KMTA02,I,8220.15026,0.0,0.0,17.245182,0.042944
KMTA02,I,8220.1616,0.0,0.0,17.135533,0.022523
